BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day3,rBias_Week3Day3
1,1,1,45,1,54,0.509433962264151,610,0.316912972085386,34,0.575757575757576,544,0.364640883977901,774,0.495472186287193,387,0.383419689119171,741,0.535135135135135,-1,NaN
1,1,2,45,1,873,0.321100917431193,217,0.601851851851852,3,1,249,0.491935483870968,452,0.30820399113082,197,0.535714285714286,-1,NaN,-1,NaN
1,1,3,45,1,196,0.635897435897436,686,0.4,15,0.5,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,4,45,1,3,0.5,257,0.37890625,46,0.533333333333333,126,0.512,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,5,45,1,0,NaN,726,0.388965517241379,1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,6,45,1,1053,0.178707224334601,1119,0.478533094812165,18,0.588235294117647,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,7,45,0,54,0.264150943396226,910,0.470847084708471,540,0.547309833024119,1108,0.528455284552846,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,8,45,0,22,0.428571428571429,682,0.666666666666667,442,0.53968253968254,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,9,45,0,428,0.243559718969555,514,0.165692007797271,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,10,45,0,7,0.5,884,0.47678369195923,771,0.398701298701299,1071,0.402803738317757,755,0.474801061007958,276,0.505454545454545,540,0.326530612244898,439,0.429223744292237
1,1,11,45,0,65,0.421875,903,0.337028824833703,917,0.330786026200873,1094,0.336688014638609,987,0.301217038539554,420,0.295942720763723,922,0.236699239956569,-1,NaN
1,1,12,45,0,221,0.481818181818182,126,0.208,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,13,535,0,466,0.561290322580645,307,0.65359477124183,2,1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,1,14,535,0,37,0.694444444444444,557,0.526978417266187,820,0.534798534798535,799,0.510025062656642,776,0.563870967741935,747,0.371313672922252,820,0.444444444444444,667,0.465465465465465
1,1,15,535,0,838,0.53405017921147,25,0.625,110,0.495412844036697,673,0.537202380952381,1034,0.511132623426912,662,0.482602118003026,-1,NaN,-1,NaN
1,1,16,535,0,185,0.619565217391304,1024,0.550342130987292,916,0.493989071038251,967,0.476190476190476,892,0.435465768799102,572,0.46584938704028,819,0.535452322738386,555,0.546931407942238
1,1,17,535,0,704,0.627311522048364,686,0.496350364963504,684,0.51683748169839,851,0.611764705882353,50,0.489795918367347,661,0.515151515151515,-1,NaN,-1,NaN
1,1,18,535,0,624,0.569823434991974,290,0.56401384083045,8,0.714285714285714,675,0.498516320474777,263,0.572519083969466,357,0.72752808988764,398,0.664987405541562,-1,NaN
1,1,19,535,0,0,NaN,618,0.73095623987034,479,0.753138075313807,502,0.473053892215569,562,0.390374331550802,518,0.5357833655706,559,0.663082437275986,24,0.521739130434783
1,1,20,535,0,0,NaN,795,0.663727959697733,603,0.604651162790698,555,0.46028880866426,8,0.571428571428571,311,0.335483870967742,271,0.407407407407407,313,0.458333333333333
1,1,21,535,1,181,0.438888888888889,440,0.339407744874715,491,0.353061224489796,455,0.328193832599119,174,0.38728323699422,381,0.352631578947368,267,0.428571428571429,55,0.574074074074074
1,1,22,535,1,1497,0.657754010695187,635,0.350157728706625,634,0.477093206951027,208,0.405797101449275,819,0.531784841075795,174,0.485549132947977,665,0.391566265060241,69,0.485294117647059
1,1,23,535,1,806,0.51055900621118,166,0.254545454545455,144,0.363636363636364,93,0.467391304347826,393,0.423469387755102,6,0.6,262,0.325670498084291,31,0.633333333333333
1,1,24,535,1,194,0.476683937823834,187,0.591397849462366,24,0.565217391304348,0,NaN,469,0.474358974358974,566,0.507964601769912,267,0.571428571428571,-1,NaN
1,1,25,535,1,73,0.361111111111111,283,0.421985815602837,23,0.5,859,0.513986013986014,384,0.485639686684073,20,0.631578947368421,634,0.601895734597156,393,0.35969387755102
1,1,26,535,1,168,0.491017964071856,18,0.705882352941177,10,0.666666666666667,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
1,1,27,535,1,481,0.479166666666667,498,0.583501006036217,112,0.513513513513513,934,0.480171489817792,268,0.52059925093633,652,0.534562211981567,728,0.511691884456671,-1,NaN
